fqdn,host,url,asset_type,criticality,access_surface,verified_at
naver.com,naver.com,https://naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
imap,imap,https://imap,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
pop3,pop3,https://pop3,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
smtp,smtp,https://smtp,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
billing.happybean.naver.com,billing.happybean.naver.com,https://billing.happybean.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
blog.naver.com,blog.naver.com,https://blog.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
cafe.naver.com,cafe.naver.com,https://cafe.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
cloud.naver.com,cloud.naver.com,https://cloud.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
happybean.naver.com,happybean.naver.com,https://happybean.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
localad.naver.com,localad.naver.com,https://localad.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
localshop.naver.com,localshop.naver.com,https://localshop.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
lps3.nid.naver.com.libproxy.chungbuk.ac.kr,lps3.nid.naver.com.libproxy.chungbuk.ac.kr,https://lps3.nid.naver.com.libproxy.chungbuk.ac.kr,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
m.ndrive.naver.com,m.ndrive.naver.com,https://m.ndrive.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
mail.naver.com,mail.naver.com,https://mail.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
maplestory.nexon.game.naver.com,maplestory.nexon.game.naver.com,https://maplestory.nexon.game.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
ndrive.naver.com,ndrive.naver.com,https://ndrive.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
nid.naver.com,nid.naver.com,https://nid.naver.com,provider_observed_domain,unknown,approved_provider_query,2026-07-05T05:41:19+00:00
