left-Supplier-primary-key,right-Domain-primary-key
probe-public,naver.com
probe-public,imap
probe-public,pop3
probe-public,smtp
probe-public,billing.happybean.naver.com
probe-public,blog.naver.com
probe-public,cafe.naver.com
probe-public,cloud.naver.com
probe-public,happybean.naver.com
probe-public,localad.naver.com
probe-public,localshop.naver.com
probe-public,lps3.nid.naver.com.libproxy.chungbuk.ac.kr
probe-public,m.ndrive.naver.com
probe-public,mail.naver.com
probe-public,maplestory.nexon.game.naver.com
probe-public,ndrive.naver.com
probe-public,nid.naver.com
